"","Arena","Arcilla","Limo","pH","MO","Al","B","Ca","CICE","Cu","Fe","K","Mg","Mn","P","S","Zn"
"1",0.24,0.22,0.54,6.9,2.2,0,0.3,20,24.1,2,16,0.5,3.6,1,34,9,1
"2",0.56,0.12,0.32,6.6,0.56,0,0.3,14,17.1,2,13,0.3,2.8,1,31,8,1
"3",0.46,0.14,0.4,6.9,1.2,0,0.3,16,19,2,8,0.3,2.7,2,34,11,1
"4",0.28,0.24,0.48,6.8,2.3,0,0.3,19,23.4,3,15,0.4,4,3,36,14,1
"5",0.22,0.26,0.52,6.9,1.6,0,0.3,17,20.6,4,20,0.3,3.3,3,40,10,1
"6",0.18,0.34,0.48,6.8,2.5,0,0.4,20,25.3,4,24,0.9,4.4,3,37,20,1
"7",0.18,0.32,0.5,6.7,2.8,0,0.5,19,24.1,5,28,0.5,4.6,3,40,11,1
"8",0.2,0.42,0.38,6.7,2.3,0,0.4,21,26.4,4,31,0.7,4.7,1,45,12,1
"9",0.16,0.46,0.38,6.7,3.2,0,0.4,23,29.1,5,31,0.7,5.4,3,41,11,1
"10",0.12,0.54,0.34,7,2,0,0.3,20,24.8,4,28,0.4,4.4,3,37,11,1
"11",0.28,0.36,0.36,6.6,2.5,0,0.3,22,26.8,5,34,0.6,4.2,5,42,10,2
"12",0.16,0.38,0.46,6.6,2.3,0,0.3,20,25.3,5,39,0.5,4.8,4,43,16,2
"13",0.38,0.32,0.3,6.5,2.6,0,0.4,26,30.9,4,33,0.5,4.4,5,43,14,1
"14",0.22,0.38,0.4,6.9,2.9,0,0.5,23,29.1,5,26,0.5,5.6,5,41,16,1
"15",0.32,0.34,0.34,6.4,2.5,0,0.3,26,31.2,5,50,0.7,4.5,5,46,14,1
"16",0.22,0.3,0.48,6.8,2,0,0.4,22,27.1,3,26,41,4.6,3,44,12,2
"17",0.26,0.26,0.48,6.7,1.8,0,0.3,17,21,6,67,0.3,3.7,12,27,17,1
"18",0.1,0.58,0.32,6.2,2.8,0,0.4,22,30,5,50,0.5,7.5,6,30,11,1
"19",0.12,0.56,0.32,6.1,2.6,0,0.4,24,31.5,5,41,0.6,6.9,9,26,10,1
"20",0.12,0.66,0.22,5.9,3.2,0,0.4,24,31.5,5,50,0.6,6.9,8,25,8,1
"21",0.14,0.62,0.24,6,3,0,0.4,26,34.9,5,62,0.8,8.1,7,24,13,1
"22",0.32,0.32,0.36,6.1,2.2,0,0.3,26,33.9,3,43,0.7,7.2,8,15,10,1
"23",0.26,0.4,0.34,6.7,2.6,0,0.3,25,33.7,4,42,0.7,8,6,25,7,1
"24",0.32,0.36,0.32,6.1,2.5,0,0.4,19,24.7,4,64,0.4,5.3,7,25,13,1
"25",0.44,0.3,0.26,6.2,2.8,0,0.4,22,30.3,4,55,0.6,7.7,5,23,12,1
"26",0.22,0.36,0.42,5.9,2,0,0.4,23,30.5,4,45,0.5,7,5,21,9,2
"27",0.2,0.48,0.32,6.8,2.3,0,0.3,25,32.7,2,67,0.6,7.1,10,32,11,3
"28",0.16,0.56,0.28,6.3,2.9,0,0.4,27,35.8,5,78,0.7,8.1,12,40,12,2
"29",0.22,0.42,0.36,6.5,2.8,0,0.3,23,29.4,8,56,0.5,5.9,14,13,8,1
"30",0.14,0.46,0.4,5.7,1.9,0,0.3,25,31.7,4,45,0.4,6.3,9,30,14,2
"31",0,0,0,5.2,1.2,1.3,0.4,12,18.2,2,31,0.3,4.6,4,17,9,1
"32",0,0,0,5.6,2,0,0.5,22,30.3,2,24,0.4,7.9,4,13,8,1
"33",0,0,0,5.6,2,0,0.4,21,29.2,2,20,0.3,7.9,4,12,10,1
"34",0,0,0,5.4,1.7,0.5,0.4,21,29.9,3,21,0.3,8.1,5,12,7,1
"35",0,0,0,5.4,1.9,0.3,0.4,25,33.2,4,31,0.4,7.5,6,15,9,1
"36",0,0,0,5.1,2.5,0.8,0.5,26,36.8,4,36,0.7,9.3,7,17,10,1
"37",0,0,0,6,3.3,0,0.5,23,33.6,5,20,0.6,10,5,20,10,1
"38",0,0,0,5.4,2.3,0.7,0.5,32,43.2,6,49,0.8,9.7,4,14,11,1
"39",0,0,0,5.1,2.6,1.2,0.5,34,46.4,5,79,0.7,10.5,4,13,18,1
"40",0,0,0,5.2,2.7,0.9,0.5,27,37.2,7,53,0.7,8.6,5,14,15,1
"41",0,0,0,5,3.1,1.4,0.5,27,36.9,7,63,0.4,8.1,5,13,14,1
"42",0,0,0,5.3,2.3,0.5,0.4,22,31.7,7,73,0.5,8.7,4,18,32,1
"43",0,0,0,6.1,3.1,0,0.6,27,35.6,6,24,0.5,8.1,4,24,13,1
"44",0,0,0,7.1,2.7,0,0.4,30,37.2,5,18,0.4,6.8,1,31,15,1
"45",0,0,0,7.3,2.7,0,0.3,36,43,5,19,0.4,6.6,1,30,9,1
"46",0,0,0,7.1,2.3,0,0.24,18.2,23.3,4,32,0.56,4.5,3,34,11,1
"47",0,0,0,5.4,2.5,0.3,0.22,15.5,23.1,6,72,0.87,6.4,7,47,7,2
"48",0.32,0.38,0.3,6.5,2.2,0,0.4,25,32.4,4,27,0.5,6.9,2,25,9,1
"49",0.26,0.4,0.34,6.8,2.8,0,0.4,31,39.2,4,23,0.8,7.4,2,35,9,1
"50",0.32,0.38,0.3,6,2.5,0,0.5,20,27.2,3,35,0.9,6.3,1,24,8,1
"51",0.22,0.5,0.28,5.8,2.4,0,0.4,24,31.4,3,48,0.8,6.6,4,21,12,1
"52",0.32,0.54,0.14,6.3,3.1,0,0.5,26,34.2,2,25,0.7,7.5,2,23,9,1
"53",0.2,0.54,0.26,6.2,3.2,0,0.4,24,31.6,3,34,0.5,7.1,2,23,14,1
"54",0.26,0.48,0.26,5.8,3.2,0,0.5,23,30.8,3,42,0.7,7.1,2,23,13,1
"55",0.32,0.48,0.2,6,2.4,0,0.4,24,31.3,3,30,0.5,6.8,3,21,12,1
"56",0.22,0.4,0.38,5.9,2.4,0,0.4,22,29.8,3,31,0.6,7.2,2,19,11,1
"57",0.18,0.52,0.3,5.9,2.4,0,0.4,23,31.2,3,31,0.5,7.7,3,22,12,1
"58",0.14,0.54,0.32,5.6,2.5,0,0.6,22,29.7,4,52,0.7,7,3,20,14,1
"59",0.3,0.42,0.28,5.6,2.3,0,0.3,17,23.4,3,40,0.4,6,5,19,8,1
"60",0.22,0.52,0.26,5.8,2.1,0,0.2,24,31.7,4,40,0.6,7.1,5,22,11,1
"61",0.32,0.42,0.26,6.3,2.2,0,0.3,18,24.3,4,29,0.4,5.9,6,21,12,1
"62",0.28,0.24,0.48,7.3,1.8,0,0.4,21,25.8,2,4,0.3,4.5,1,35,9,1
"63",0.22,0.44,0.34,5.7,3.2,0,0.5,18,25.5,2,50,1,6.6,2,32,4,2
"64",0.12,0.54,0.34,5.7,2.6,0,0.5,17,24.6,3,53,0.8,6.8,2,35,5,1
"65",0.02,0.66,0.32,5.5,2.1,0,0.4,12,17.6,2,49,0.6,5,3,20,5,1
"66",0.18,0.36,0.46,5.8,2.4,0,0.3,15,20.8,2,45,0.4,5.4,4,22,3,1
"67",0.14,0.4,0.46,6.1,2,0,0.3,12,16.9,2,31,0.4,4.5,6,22,4,1
"68",0.2,0.32,0.48,6,2.6,0,0.5,18,24.5,2,35,0.7,5.8,4,21,7,1
"69",0.08,0.44,0.48,6.2,1.7,0,0.3,13,19.3,2,33,0.4,5.9,4,25,4,1
"70",0.18,0.42,0.4,6.3,1.8,0,0.3,13,19.7,2,29,0.3,6.4,4,25,3,1
"71",0.12,0.44,0.44,6.4,1.9,0,0.4,13,20.1,2,31,0.5,6.6,4,34,3,1
"72",0.14,0.46,0.44,6.1,4,0,0.6,22,30.5,3,63,1.3,7.2,4,120,7,5
"73",0.12,0.54,0.34,6.7,3.3,0,0.6,22,30.9,4,34,0.7,8.2,4,31,6,1
"74",0.1,0.58,0.32,6,3.4,0,0.5,18,27.6,4,59,1.6,8,4,46,7,2
"75",0.06,0.62,0.32,6.3,4,0,1,21,29.1,4,46,1.4,6.7,3,40,8,3
"76",0.14,0.54,0.32,6.7,3.3,0,0.6,19,26.8,3,28,0.7,7.1,3,58,9,1
"77",0.12,0.52,0.36,6.6,2.9,0,0.8,21,28.3,4,41,0.7,6.6,3,36,12,1
"78",0.1,0.48,0.42,5.8,2.8,0,0.7,21,27.6,4,48,0.8,5.8,3,22,8,2
"79",0.06,0.52,0.42,6.6,1.9,0,0.5,18,26.8,2,22,0.4,8.4,5,27,4,1
"80",0.2,0.44,0.36,6.3,1.8,0,0.3,18,23.3,2,29,0.5,4.8,5,30,17,3
"81",0.16,0.38,0.46,6.6,2.6,0,0.3,24,28.8,2,38,0.7,4.1,7,42,10,1
"82",0.1,0.52,0.38,6.2,1.9,0,0.2,17,21.2,3,67,0.4,3.8,6,39,15,5
"83",0.12,0.54,0.34,5.7,2.4,0,0.3,22,27.2,4,70,0.6,4.6,2,35,19,4
"84",0.16,0.4,0.44,7,2.3,0,0.2,19,23.6,5,56,0.7,3.9,3,103,12,2
"85",0.1,0.7,0.2,5.4,2.6,0.5,0.2,21,28.8,6,52,0.6,6.7,5,20,18,3
"86",0.14,0.7,0.16,5.4,2.8,0.9,0.3,17,25.2,2,40,0.8,6.5,6,18,25,1
"87",0.18,0.66,0.16,5.1,2.9,0.9,0.2,20,27.4,4,65,0.8,5.7,12,16,32,1
"88",0.2,0.62,0.18,5.3,3,0.7,0.2,21,27.9,5,86,0.6,5.6,17,17,27,2
"89",0.18,0.48,0.34,6.1,1.6,0,0.6,17,21.7,3,62,0.4,4.3,12,33,12,2
"90",0.12,0.64,0.24,5.4,2.4,0.3,0.4,16,23.4,3,57,0.5,6.6,8,18,9,3
"91",0.46,0.22,0.32,5.3,1.5,0.7,0.3,13.6,21.5,5,76,0.78,6.4,6,20,3,2
"92",0.24,0.32,0.44,5.5,1.9,0,0.4,17.6,27.4,7,79,1.1,8.7,5,22,1,2
"93",0.18,0.44,0.38,5.6,2.4,0,0.4,21.3,33.5,7,69,1.27,10.9,4,27,1,3
"94",0.46,0.3,0.24,5.9,2.1,0,0.3,15.5,24.8,6,63,2.13,7.2,3,34,6,3
"95",0.3,0.4,0.3,5.7,2,0,0.2,18.5,28.7,5,53,0.96,9.2,3,22,10,2
"96",0.2,0.48,0.32,5.5,2.6,0,0.3,18.5,30,6,64,2.38,9.1,4,34,9,3
"97",0.2,0.44,0.36,5.3,2.4,0.4,0.2,19.2,30.2,6,82,1.29,9.3,7,23,9,2
"98",0.34,0.34,0.32,5.5,1.9,0,0.3,16.1,25.1,6,69,1.33,7.7,5,21,12,2
"99",0.3,0.32,0.38,5.9,3.1,0,0.2,19.7,29.8,6,66,1.78,8.3,5,41,13,4
"100",0.26,0.42,0.32,5.6,1.7,0,0.4,19,29.1,7,0.3,1.19,8.9,5,19,13,2
"101",0.32,0.3,0.38,7.5,2.1,0,0.1,15,19.8,3,19,0.2,4.6,2,27,34,1
"102",0.3,0.28,0.42,6.8,2.3,0,0.4,25,29.6,3,28,0.6,4,1,39,7,1
"103",0.2,0.36,0.44,6.4,2.4,0,0.3,26,32.2,4,54,1.4,4.8,1,34,10,1
"104",0.14,0.4,0.46,6,1.9,0,0.3,17,23.5,5,43,0.4,6.1,4,40,10,1
"105",0.2,0.34,0.46,6.5,2.1,0,0.4,26,32.3,4,35,0.6,5.7,2,26,10,1
"106",0.18,0.46,0.36,6.4,2.5,0,0.4,23,30.2,4,36,0.5,6.7,3,26,8,2
"107",0.1,0.56,0.34,5.9,2.1,0,0.4,26,34,5,61,0.6,7.4,5,26,9,2
"108",0.06,0.6,0.34,5.6,2,0,0.3,24,32.1,6,69,0.7,7.4,7,24,8,2
"109",0.12,0.58,0.3,5.9,2.5,0,0.3,29,38.2,4,0,1.5,7.7,5,35,8,1
"110",0.12,0.6,0.28,5.7,2.8,0,0.4,23,31.9,5,29,1.5,7.4,4,33,11,2
"111",0.18,0.54,0.28,5.7,2.2,0,0.3,22,30.7,3,42,1.1,7.6,6,39,8,1
"112",0.18,0.52,0.3,5.7,2.1,0,0.4,21,28.4,2,39,0.7,6.7,7,25,9,4
"113",0.34,0.36,0.3,6,1.6,0,0.2,18,24.7,5,71,0.5,6.2,5,21,10,2
"114",0.08,0.7,0.22,5.9,2.5,0,0.4,18,26.9,2,55,0.8,8.1,4,24,9,3
"115",0.12,0.62,0.26,5.8,2.5,0,0.4,25,33.3,4,62,0.5,7.8,3,22,9,1
"116",0.14,0.64,0.22,6.1,2.1,0,0.3,28,37.8,1,45,0.6,9.2,2,17,7,2
"117",0.18,0.48,0.34,6,1.7,0,0.4,21,29.1,9,79,0.9,7.2,7,37,5,3
"118",0.1,0.48,0.42,5.8,2.5,0,0.5,21,28.6,9,78,0.9,6.7,3,41,5,2
"119",0.08,0.46,0.46,5.6,1.9,0,0.6,24,31.3,9,103,0.8,6.5,7,41,6,1
"120",0.18,0.32,0.5,6.3,2,0,0.5,20,26,5,45,0.9,5.1,0.3,37,6,1
"121",0.26,0.28,0.46,6,1.8,0,0.4,18,23.7,5,56,0.9,4.8,2,32,8,1
"122",0.46,0.18,0.36,6,0.71,0,0.3,15,19,4,40,0.4,3.6,1,45,10,1
"123",0.34,0.26,0.4,5.9,1.3,0,0.4,17,21.8,5,50,0.3,4.5,1,37,6,1
"124",0.34,0.22,0.44,6.4,1.3,0,0.4,19,23.5,5,21,0.4,4.1,2,34,6,1
"125",0.4,0.22,0.38,5.6,1.6,0,0.4,16,21.2,7,62,0.6,4.6,3,34,7,2
"126",0.3,0.3,0.4,6,1.5,0,0.3,20,25.4,2,30,0.6,4.8,1,25,6,1
"127",0.32,0.3,0.38,6.3,2,0,0.2,21,27.4,3,38,0.9,5.5,3,30,6,1
"128",0.34,0.32,0.34,6.5,2.3,0,0.3,22,28.2,3,30,1.2,5,3,63,8,1
"129",0.22,0.44,0.34,5.7,2.3,0,0.3,19,27.1,4,49,0.8,7.3,5,24,10,1
"130",0.28,0.4,0.32,5.7,3.3,0,0.2,18,26.3,3,35,0.5,7.8,2,15,5,1
"131",0.22,0.46,0.32,6,2.4,0,0.3,21,29.7,3,37,1.2,7.5,1,26,7,1
"132",0.16,0.48,0.36,5.8,2,0,0.2,23,31.6,3,25,0.7,7.9,1,24,6,1
"133",0.2,0.46,0.34,5.2,2.2,0.6,0.2,18,26.6,4,74,0.6,7.4,9,43,7,2
"134",0.24,0.42,0.34,6.2,1.3,0,0.1,18,25.8,3,36,0.5,7.3,4,24,6,1
"135",0.14,0.5,0.36,5.3,2,0.4,0.2,18,27,4,53,0.8,7.8,6,22,6,1
"136",0.22,0.44,0.34,5.7,1.7,0,0.1,18,25.4,4,52,0.6,6.8,7,25,6,1
"137",0.2,0.46,0.34,5.6,2.2,0,0.2,19,27.2,3,57,1.6,6.6,5,25,5,1
"138",0.32,0.34,0.34,6.2,1.1,0,0.04,15,20.8,2,23,0.4,5.4,3,16,4,1
"139",0.26,0.42,0.32,5.5,2.2,0,0.3,16,22.7,4,67,0.9,5.8,10,36,7,2
"140",0.28,0.34,0.38,6.4,2.3,0,0.4,20,27.6,3,70,1.3,6.3,5,35,9,2
"141",0.32,0.36,0.32,6.4,2.8,0,0.4,25,31.4,4,40,0.7,5.7,6,36,8,1
"142",0.18,0.46,0.36,6,2.4,0,0.4,20,28.4,3,58,1.1,7.3,3,28,5,2
"143",0.24,0.38,0.38,5.9,2.8,0,0.5,23,30.8,4,64,1,6.8,19,34,6,2
"144",0.22,0.34,0.44,5.5,2.3,0,0.5,20,27.1,5,86,0.8,6.3,20,27,8,2
"145",0.22,0.36,0.42,5.6,2.4,0,0.4,37,52.1,5,83,2.2,12.9,19,25,7,3
"146",0.28,0.34,0.38,5.4,2.2,0.5,0.4,16,24,4,109,1.1,6.4,20,27,8,3
"147",0.28,0.4,0.32,5.5,2.6,0,0.4,19,26.5,4,6.3,1.1,6.4,15,27,10,3
"148",0.24,0.38,0.38,5.7,2.5,0,0.4,19,26.3,4,79,1.3,6,17,28,10,3
"149",0.14,0.42,0.44,5.7,2.2,0,0.4,21,28.4,4,67,1.1,6.3,16,31,9,2
"150",0.26,0.38,0.36,5.6,2.5,0,0.4,22,27.8,5,83,0.8,5,12,33,15,2
"151",0.26,0.36,0.38,6,2.4,0,0.5,21,26.8,6,67,0.7,5.1,13,29,10,2
"152",0.24,0.32,0.44,6.2,1.7,0,0.4,20,24.9,4,69,0.6,4.3,7,25,5,1
"153",0.4,0.24,0.36,6,1.8,0,0.4,18,22,3,71,0.5,3.5,6,37,5,2
"154",0.42,0.24,0.34,6.1,2,0,0.3,16,20.2,3,68,0.8,3.4,6,35,4,2
"155",0.36,0.24,0.4,6.2,2.1,0,0.4,18,22.5,3,72,1,3.5,2,24,5,2
"156",0.26,0.46,0.28,6.3,2,0,0.3,23,28.9,3,35,0.8,5.1,4,25,8,1
"157",0.28,0.44,0.28,6.3,2,0,0.3,22,28.5,3,42,1,5.5,4,24,7,1
"158",0.3,0.42,0.28,6.1,1.7,0,0.3,17,22.9,2,38,0.9,5,4,24,7,1
"159",0.24,0.48,0.28,6.2,1.6,0,0.2,17,22.6,2,38,0.9,4.7,4,23,7,1
"160",0.34,0.38,0.28,5.8,1.8,0,0.8,22,28.8,2,32,0.8,6,4,20,10,1
"161",0.36,0.36,0.28,5.8,1.2,0,0.2,16,21.5,3,47,0.9,4.6,5,27,8,1
"162",0.26,0.42,0.32,5.8,1.7,0,0.3,17,23.2,3,52,1,5.2,5,27,8,1
"163",0.24,0.4,0.36,6.3,1.7,0,0.3,22,28.2,3,34,0.6,5.6,4,18,6,1
"164",0.34,0.34,0.32,6.3,1.5,0,0.4,16,21.6,2,32,0.7,4.9,3,19,8,1
"165",0.42,0.32,0.26,6.2,0.78,0,0.2,19,24.1,2,31,0.9,4.2,3,20,5,1
"166",0.24,0.44,0.32,6.5,1.7,0,0.3,19,25.4,3,55,1.4,5,3,29,5,1
"167",0.32,0.34,0.34,6.5,1.6,0,0.3,19,24.8,3,41,0.7,5.1,4,28,5,1
"168",0.26,0.38,0.36,6,1.9,0,0.3,17,23.7,3,43,0.6,6.1,4,18,4,1
"169",0.22,0.4,0.38,6.2,1.2,0,0.3,17,23.4,4,52,0.6,5.8,4,28,6,1
"170",0,0,0,6.1,2.7,0,0.4,17,23.3,5,139,1.5,4.8,5,37,6,2
"171",0,0,0,5.6,3,0,0.3,18,24.7,7,130,1,5.7,5,33,6,3
"172",0,0,0,5.7,2.5,0,0.3,17,23.5,6,118,1.1,5.4,5,29,6,2
"173",0,0,0,5.9,3.1,0,0.4,15,21.9,5,107,2.7,4.2,4,46,5,3
"174",0,0,0,5.6,3.2,0,0.4,17,23.5,8,104,1.2,5.3,6,46,5,3
"175",0,0,0,6,3.6,0,0.4,18,25.3,5,77,1,6.3,3,35,6,3
"176",0,0,0,5.9,3.1,0,0.5,17,23.4,5,79,1.1,5.3,8,91,7,3
"177",0,0,0,5.6,3.6,0,0.5,18,24.1,7,171,1.1,5,11,25,8,4
"178",0,0,0,5.8,3.3,0,0.4,16,22.2,6,109,1,5.2,7,47,6,5
"179",0,0,0,5.9,2.5,0,0.3,16,21.7,6,68,0.8,4.9,8,20,9,2
"180",0,0,0,4.9,1.4,1.4,0.4,10,16.5,7,146,1,4.1,23,21,7,3
"181",0,0,0,6.1,3.1,0,0.4,16,21.2,5,89,0.9,4.3,8,47,7,5
"182",0.4,0.2,0.4,7.8,1.8,0,0.2,25,28.4,2,28,0.2,3.2,2,23,62,0
"183",0.34,0.24,0.42,7.8,2.4,0,0.2,23,27.2,3,27,0.2,4,2,22,37,0
"184",0.24,0.34,0.42,7.3,2.6,0,0.3,24,30.1,4,34,0.3,5.8,3,22,24,1
"185",0.16,0.44,0.4,6.4,2.5,0,0.4,24,31.8,6,50,0.4,7.4,4,16,57,1
"186",0.02,0.54,0.44,6.8,2.5,0,0.2,25,32.4,5,45,0.4,7,4,19,16,1
"187",0.08,0.54,0.38,7,3.4,0,0.3,31,37.5,4,34,0.5,6,3,19,18,1
"188",0.12,0.56,0.32,6.2,3.9,0,0.4,30,37.9,8,66,0.5,7.4,7,18,50,1
"189",0.14,0.56,0.3,6.5,3.3,0,0.3,23,31.5,8,53,0.5,8,6,19,45,1
"190",0.12,0.6,0.28,6,4.2,0,0.4,23,30.2,10,87,0.4,6.8,8,18,102,1
"191",0.18,0.36,0.46,7.6,2.4,0,0.3,24,28.7,5,40,0.3,4.4,3,22,94,1
"192",0.34,0.28,0.38,7.6,1.9,0,0.2,25,29.8,4,32,0.3,4.5,3,26,63,1
"193",0.22,0.36,0.42,7.4,2.6,0,0.2,25,30.7,5,41,0.4,5.3,3,24,29,1
"194",0.34,0.34,0.32,5.9,3.2,0,0.5,25,32.9,10,98,0.5,7.4,6,19,88,1
"195",0.16,0.56,0.28,6.4,4.6,0,0.5,24,30.7,10,86,0.4,6.3,6,17,61,2
"196",0.08,0.52,0.4,5.8,1.7,0,0.3,35,45.9,4,54,1.4,9.5,7,30,6,2
"197",0.16,0.48,0.36,5.9,1.6,0,0.5,20,25.8,3,36,0.4,5.4,4,23,6,1
"198",0.18,0.44,0.38,5.7,1.5,0,0.3,18,24,3,38,0.6,5.4,6,12,8,1
"199",0.16,0.44,0.4,5.8,1.5,0,0.3,17,22.8,3,43,0.5,5.3,5,21,3,1
"200",0.14,0.46,0.4,6.4,1.5,0,0.3,17,22.5,3,37,0.3,5.2,4,18,3,1
"201",0.16,0.46,0.38,5.7,1.7,0,0.3,18,23.1,3,48,0.5,4.6,5,52,3,2
"202",0.16,0.46,0.38,5.5,1.4,0,0.2,13,17.7,2,42,0.4,4.3,6,19,4,1
"203",0.26,0.38,0.36,5.7,1.7,0,0.3,16,20.8,2,44,0.8,4,5,19,3,1
"204",0.22,0.38,0.4,5.6,1.4,0,0.2,17,23,3,43,0.4,5.6,9,12,5,1
"205",0.14,0.54,0.32,5.7,1.7,0,0.3,23,29.6,3,46,0.5,6.1,6,13,6,1
"206",0.14,0.54,0.32,6,1.6,0,0.2,20,27.5,3,40,0.4,7.1,6,14,3,1
"207",0.08,0.56,0.36,5.5,1.8,0,0.3,24,31,3,45,0.6,6.4,8,12,5,1
"208",0.12,0.52,0.36,6,1.9,0,0.3,24,30.5,3,40,0.6,5.9,8,13,5,1
"209",0.12,0.52,0.36,5.7,1.5,0,0.3,19,26.1,3,40,0.4,6.7,4,12,3,1
"210",0.2,0.46,0.34,5.9,1.8,0,0.3,19,25.5,2,41,0.7,5.8,6,10,6,1
"211",0.2,0.46,0.34,5.7,1.7,0,0.2,18,24.7,2,41,0.57,6.1,5,14,5,1
"212",0.14,0.48,0.38,5.8,1.9,0,0.3,24,29.4,3,48,0.61,4.8,5,16,8,1
"213",0.1,0.58,0.32,5.7,1.6,0,0.2,16,21.9,3,55,0.73,5.2,4,14,7,1
"214",0.14,0.44,0.42,5.9,1.5,0,0.2,18,23.6,2,52,0.6,5,5,11,6,1
"215",0.1,0.5,0.4,5.8,1.8,0,0.2,20,26.4,2,60,0.86,5.5,4,15,7,1
"216",0.08,0.56,0.36,5.9,1.7,0,0.2,19,26.6,3,65,0.97,6.6,5,10,7,1
"217",0.16,0.7,0.14,6.3,2,0,0.2,18,25.8,2,64,0.64,7.2,3,11,9,1
"218",0.5,0.22,0.28,6.3,1.2,0,0.2,14,18,2,52,1.3,2.7,3,46,6,2
"219",0.6,0.16,0.24,6.4,1.3,0,0.2,11,15.6,2,49,1.9,2.7,3,46,6,1
"220",0.46,0.22,0.32,6.1,1.5,0,0.5,15,20.2,2,62,1.8,3.4,4,36,6,2
"221",0.52,0.2,0.28,6.6,1.6,0,0.3,17,22.5,2,44,2,3.5,3,32,7,1
"222",0.48,0.2,0.32,6.3,1.6,0,0.2,13,18.5,2,75,1.7,3.8,5,46,6,2
"223",0.44,0.22,0.34,6.7,1.2,0,0.2,14,19.6,2,47,1.7,3.9,2,33,7,1
"224",0.34,0.26,0.4,6.6,1.5,0,0.2,15,19.7,2,68,1,3.7,3,28,7,1
"225",0.34,0.26,0.4,6.3,1.7,0,0.3,17,21.7,2,66,1,3.7,6,29,6,2
"226",0.36,0.22,0.42,6.3,1.8,0,0.3,16,21,2,52,1.3,3.7,5,24,6,1
"227",0.38,0.24,0.38,6.4,1.5,0,0.3,20,25.6,2,54,1.7,3.9,3,27,5,1
"228",0.42,0.22,0.36,5.9,1.3,0,0.2,17,21.4,2,46,0.8,3.6,6,24,6,1
"229",0.36,0.28,0.36,6.2,1.5,0,0.2,19,23.4,2,46,1,3.4,5,24,6,1
"230",0.34,0.28,0.38,6.5,1.6,0,0.2,18,23.2,2,45,0.8,4.4,5,19,6,1
"231",0.22,0.32,0.46,6.6,1.5,0,0.2,18,22.4,2,48,1.2,3.2,4,24,6,1
"232",0.34,0.28,0.38,6.4,2.2,0,0.5,14,19.4,2,60,2,3.4,4,33,8,3
"233",0.2,0.36,0.44,6.3,2.1,0,0.3,20,26.2,3,79,1.7,4.5,4,23,8,1
"234",0.26,0.34,0.4,6.1,3,0,0.3,14,19.6,3,101,1.7,3.9,6,54,8,3
"235",0.26,0.34,0.4,6.4,2.1,0,0.3,23,29.5,2,107,1.6,4.9,5,27,7,3
"236",0.26,0.32,0.42,6.2,2,0,0.3,22,27.5,3,67,1.3,4.2,6,24,7,12
"237",0.26,0.34,0.4,5.6,1.5,0,0.3,19,24.4,3,93,1.2,4.2,6,25,8,3
"238",0.32,0.3,0.38,6,1.7,0,0.3,18,22.9,3,61,0.8,4.1,7,27,6,2
"239",0.36,0.28,0.36,6.3,2.7,0,0.3,16,20.3,2,55,0.7,3.6,6,21,6,2
"240",0.34,0.26,0.4,6.6,1.9,0,0.4,14,19.6,2,78,1.7,3.9,5,37,8,3
"241",0.38,0.24,0.38,6.4,2.6,0,0.3,16,20.9,2,70,1,3.9,4,32,7,2
"242",0.38,0.28,0.34,6.4,2,0,0.2,18,23.3,2,53,0.9,4.4,4,32,6,3
"243",0.28,0.28,0.44,6.4,1.8,0,0.6,17,22.5,2,52,0.7,4.8,6,25,7,2
"244",0.42,0.26,0.32,6.3,1.8,0,4,18,22.6,2,54,0.7,3.9,4,26,5,2
"245",0.6,0.2,0.2,6.5,1.4,0,0.3,16,20,2,44,0.8,3.2,3,38,5,2
"246",0.54,0.2,0.26,6.7,1.6,0,0.3,12,14.8,1,70,0.7,2.1,3,56,4,2
"247",0.3,0.3,0.4,6,2.4,0,0.5,20,27.1,3,82,1.6,5.5,5,31,6,3
"248",0.32,0.28,0.4,6.4,2,0,0.4,17,22.1,3,48,0.9,4.2,4,21,5,1
"249",0.4,0.24,0.36,6.1,1.2,0,0.3,15,20.7,3,76,1.8,3.9,3,20,5,1
"250",0.36,0.32,0.32,5.3,1.7,0.5,0.2,13,18.7,2,44,0.8,4.4,7,14,9,4
"251",0.36,0.24,0.4,5.9,1.6,0,0.3,16,21.6,2,42,0.5,5.1,8,14,8,5
"252",0.26,0.4,0.34,5.1,1.5,1.3,0.3,15,23.6,2,60,1,6.3,10,13,13,6
"253",0.24,0.4,0.36,5.3,1.8,0.7,0.4,17,25.3,3,64,0.6,7,7,12,8,7
"254",0.24,0.34,0.42,5,1.3,1.2,0.3,21,28.2,4,70,0.6,5.4,7,12,10,4
"255",0.3,0.32,0.38,5.3,1.7,0.6,0.3,16,22.5,4,62,0.5,5.4,7,10,10,2
"256",0.36,0.32,0.32,5.4,1.6,0.5,0.3,20,25.7,5,44,0.4,4.8,8,9,7,3
"257",0.36,0.3,0.34,5.4,1.3,0.5,0.2,13,18.3,3,68,0.4,4.4,9,11,7,5
"258",0.42,0.24,0.34,6,1.5,0,0.3,15,18.6,4,69,0.3,3.3,10,16,6,1
"259",0.2,0.44,0.36,5.6,2.9,0,0.4,12.2,16.7,3,81,1.16,3.3,1,32,9,3
